ua
"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/617.1.17.10.9 (KHTML, like Gecko) Mobile/21C66 BiliApp/82200100 os/ios model/iPhone 15 Plus mobi_app/iphone build/82200100 osVer/17.2.1 network/2 channel/AppStore Buvid/YE446FEFE571B3744A0E98BC624A9962E219 c_locale/zh-Hans_CN s_locale/zh-Hans_CN sessionID/52ce3833 disable_rcmd/0"
"Mozilla/5.0 (Linux; Android 14; PJH110 Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36"
"Mozilla/5.0 (Linux; Android 14; ANB-AN00 Build/HONORANB-AN00;) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 T7/13.38 SP-engine/2.76.0 languageType/0 bdh_dvt/0 bdh_de/1 bdh_ds/1 bdapp/1.0 (bdhonorbrowser; bdhonorbrowser) bdhonorbrowser/8.4.1.2 (P1 14) NABar/1.0"
"Mozilla/5.0 (Linux; Android 14; 2407FRK8EC Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/126.0.6478.71 Mobile Safari/537.36 os/android model/2407FRK8EC build/8220300 osVer/14 sdkInt/34 network/2 BiliApp/8220300 mobi_app/android channel/xiaomi Buvid/XUC6FCEC8BDA926BA691A98E417F7991392AC sessionID/7f3850ca innerVer/8220310 c_locale/zh_CN s_locale/zh_CN disable_rcmd/0 themeId/1 sh/36"
"Mozilla/5.0 (Linux; Android 12; V2157A Build/SP1A.210812.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Mobile Safari/537.36 XWEB/1300073 MMWEBSDK/20240301 MMWEBID/6381 MicroMessenger/8.0.48.2580(0x28003052) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64 miniProgram/wx1753810b04aff5f8"
"Mozilla/5.0 (Linux; U; Android 14; zh-cn; 22041219C Build/UP1A.231005.007) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.119 Mobile Safari/537.36 XiaoMi/MiuiBrowser/18.6.60929"
"Mozilla/5.0 (Linux; Android 14; V2254A Build/UP1A.231005.007) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.196 Mobile Safari/537.36"
"Mozilla/5.0 (Linux; Android 12; ALT-AL10 Build/HUAWEIALT-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36 os/android model/ALT-AL10 build/8220300 osVer/12 sdkInt/31 network/1 BiliApp/8220300 mobi_app/android channel/huawei Buvid/XO524A252DD4323152B66466FCF4FDE6F64A2 sessionID/5de2cc3f innerVer/8220310 c_locale/en_CN s_locale/en_CN disable_rcmd/0 themeId/1 sh/37"
"Mozilla/5.0 (Linux; Android 14; V2354A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.118 Mobile Safari/537.36 VivoBrowser/22.3.0.0"
"Mozilla/5.0 (Linux; Android 14; 22101316C Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Mobile Safari/537.36 XWEB/1300073 MMWEBSDK/20241101 MMWEBID/848 MicroMessenger/8.0.54.2760(0x28003636) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64"
